"","GEOID","NAME.x","TotalPopE","TotalPopM","WhitePopE","WhitePopM","Pct_White","Pct_White_moe","sum_under200","pct_under200","U200_moe_sum","U200_moe_prop","PercLEPE","PercLEPM"
"899","48201230400","Census Tract 2304, Harris County, Texas",3423,758,87,88,2.54163014899211,2.5084789232919,1954,57.08442886357,1044.00191570705,0.277566727090977,18.6,6.3
"900","48201231300","Census Tract 2313, Harris County, Texas",4615,383,24,15,0.520043336944745,0.32214895311093,2952,63.9653304442037,855.914131207097,0.177703968159867,8.5,4.7
"901","48201231600","Census Tract 2316, Harris County, Texas",3136,323,30,42,0.956632653061224,1.33565636341813,1653,52.896,582.95625907953,0.178713173828499,4,4.3
"902","48201232900","Census Tract 2329, Harris County, Texas",7170,669,488,173,6.80613668061367,2.32776000450676,3034,42.3152022315202,1167.76410289065,0.158009972264914,5,4.3
"903","48201233400","Census Tract 2334, Harris County, Texas",2719,333,274,86,10.0772342773078,2.91220282394974,1706,62.7436557557926,536.745749866732,0.181835361362412,13,4.6
"904","48201240100","Census Tract 2401, Harris County, Texas",3716,461,444,242,11.9483315392896,6.34144323798148,2206,59.3649085037675,762.328013390561,0.191472207966562,23,8.8
"905","48201250100","Census Tract 2501, Harris County, Texas",9043,900,1486,428,16.432599800951,4.44140310185193,2268,25.8432087511395,1336.73146143868,0.149925122240727,2.5,2.2
"906","48201250200","Census Tract 2502, Harris County, Texas",10730,1119,1084,299,10.1025163094129,2.57973532134802,3965,37.125468164794,1807.76934369405,0.164802080179493,12.3,5.7
"907","48201250900","Census Tract 2509, Harris County, Texas",9902,616,8419,556,85.0232276307817,1.88472819203939,702,7.12111990261716,694.965466767954,0.0703565801766101,0.5,0.8
"908","48201251100","Census Tract 2511, Harris County, Texas",7459,453,5502,506,73.7632390400858,5.09418974238407,1817,24.3598337578764,808.140458088815,0.107329529858649,1.3,1.4
"909","48201251300","Census Tract 2513, Harris County, Texas",7108,434,5750,495,80.8947664603264,4.90924555327167,611,8.59594822734947,563.917547164477,0.0791618143173649,0.5,0.9
"910","48201251700","Census Tract 2517, Harris County, Texas",8266,725,6546,677,79.1918703121219,4.33989038307983,2218,26.8328090975079,1022.44559757476,0.121433330604723,3,3.7
"911","48201254200","Census Tract 2542, Harris County, Texas",2639,302,423,147,16.0287987874195,5.25961238533729,1327,50.552380952381,435.005747088472,0.155175528667415,20.9,6.7
"912","48201311200","Census Tract 3112, Harris County, Texas",4875,487,429,137,8.8,2.6692187601592,2785,57.1282051282051,857.882859136374,0.166465016689318,21.7,6.3
"913","48201312100","Census Tract 3121, Harris County, Texas",3879,1504,1470,506,37.8963650425367,19.6484315151254,0,NA,13,NA,NA,NA
"914","48201313200","Census Tract 3132, Harris County, Texas",4002,431,556,139,13.8930534732634,3.13446311320832,1342,34.0782122905028,566.116595764512,0.139397960744869,0.5,0.8
"915","48201320900","Census Tract 3209, Harris County, Texas",7272,635,594,281,8.16831683168317,3.79773612969275,3362,46.2830396475771,1207.73217229649,0.161296657064372,14.2,6.6
"916","48201452500","Census Tract 4525, Harris County, Texas",7927,926,504,248,6.35801690425129,3.03910890329682,4169,52.592405702031,1456.31452646741,0.17313880415348,26.3,8
"917","48201454100","Census Tract 4541, Harris County, Texas",3994,453,556,128,13.920881321983,2.7888775955531,1291,32.4453380246293,831.415660184483,0.205718339963433,7.9,4.8
"918","48201454200","Census Tract 4542, Harris County, Texas",4542,605,815,270,17.9436371642448,5.44285260710287,996,21.9286657859974,721.002080440826,0.156030627293212,11.7,6.3
"919","48201454900","Census Tract 4549, Harris County, Texas",12169,667,5947,862,48.8700797107404,6.55758387440508,1407,11.5621661599145,845.523506473948,0.0691921394364782,8.5,3.6
"920","48201510400","Census Tract 5104, Harris County, Texas",3891,354,3027,420,77.7949113338473,8.14980864662463,702,18.0648481729285,464.763380657297,0.118455384756195,0.7,1.2
"921","48201511600","Census Tract 5116, Harris County, Texas",3576,405,1032,224,28.8590604026846,5.34367026728062,1497,41.8624161073826,593.612668328431,0.159084442802479,14.9,6.3
"922","48201520200","Census Tract 5202, Harris County, Texas",3360,300,1986,276,59.1071428571429,6.29470343389374,596,17.8443113772455,409.954875565592,0.121724890076658,15.1,7.1
"923","48201521500","Census Tract 5215, Harris County, Texas",6036,610,1481,169,24.5361166335321,1.30027136777149,2218,36.8071689346167,895.497068671919,0.143858838063639,13.1,5.4
"924","48201521600","Census Tract 5216, Harris County, Texas",3498,390,504,92,14.4082332761578,2.08248605582226,1562,44.6540880503145,625.630881590735,0.171784979976982,16.1,5.7
"925","48201530300","Census Tract 5303, Harris County, Texas",2358,410,86,60,3.64715860899067,2.46423982699139,1603,67.9813401187447,600.161644892441,0.22540885351877,13.3,7.1
"926","48201530400","Census Tract 5304, Harris County, Texas",2954,358,75,42,2.53893026404875,1.38810679395996,1780,61.5703908682117,600.265774469943,0.193791153811467,29.9,7.1
"927","48201530600","Census Tract 5306, Harris County, Texas",3597,593,471,150,13.0942452043369,3.56791880454977,2552,73.039496279336,994.671302491431,0.255148137447479,20.9,9
"928","48201531300","Census Tract 5313, Harris County, Texas",6275,686,1460,370,23.2669322709163,5.31956581275034,3744,59.6653386454183,1234.1430225059,0.185544760263412,19.6,7.9
"929","48201540200","Census Tract 5402, Harris County, Texas",2624,446,480,137,18.2926829268293,4.19429474091153,1068,40.7012195121951,655.679037334579,0.240110453687019,15.3,6.5
"930","48201531200","Census Tract 5312, Harris County, Texas",3573,322,1625,274,45.4799888049258,6.48141238432444,1212,33.9210747271201,620.834116330602,0.171046828476711,4.2,4.1
"931","48201534100","Census Tract 5341, Harris County, Texas",8510,844,1003,286,11.786133960047,3.15091792223456,3294,38.8168748526986,1502.72785293945,0.172813365624262,4.8,3.4
"932","48201540700","Census Tract 5407, Harris County, Texas",7201,448,2549,441,35.3978614081378,5.71449028106012,1595,22.1497014303569,864.734641378498,0.119292081501884,7.3,3.2
"933","48201540800","Census Tract 5408, Harris County, Texas",7219,802,1244,308,17.2323036431639,3.81288887331073,2427,33.7083333333333,1236.40769974956,0.167599563620325,9.6,5.3
"934","48201541100","Census Tract 5411, Harris County, Texas",7060,515,4062,406,57.5354107648725,3.9314037191088,1176,16.6950596252129,779.083435839834,0.109937310418163,4,2.2
"935","48201541300","Census Tract 5413, Harris County, Texas",12908,1029,1866,515,14.4561512240471,3.81971639006688,5663,43.977634542207,1970.98477924108,0.148957390656435,10,5.6
